1,101,October 01 2018 - 10:52,October 01 2018 - 14:07,6
2,102,October 01 2018 - 08:47,October 01 2018 - 22:48,15
3,103,October 01 2018 - 09:23,October 01 2018 - 16:39,25
4,101,October 02 2018 - 09:16,October 02 2018 - 13:50,25
5,102,October 02 2018 - 11:13,October 02 2018 - 13:22,25
6,103,October 02 2018 - 11:56,October 02 2018 - 20:10,11
7,104,October 02 2018 - 10:09,October 02 2018 - 20:46,13
8,105,October 02 2018 - 11:50,October 02 2018 - 22:37,25
9,101,October 02 2018 - 08:48,October 02 2018 - 22:51,25
10,102,October 02 2018 - 10:16,October 02 2018 - 20:40,13
11,101,October 03 2018 - 08:45,October 03 2018 - 20:14,14
12,102,October 03 2018 - 10:00,October 03 2018 - 17:20,25
13,101,October 03 2018 - 10:28,October 03 2018 - 18:43,11
